nose_y,nose_x,nose_confidence,left_eye_y,left_eye_x,left_eye_confidence,right_eye_y,right_eye_x,right_eye_confidence,left_ear_y,left_ear_x,left_ear_confidence,right_ear_y,right_ear_x,right_ear_confidence,left_shoulder_y,left_shoulder_x,left_shoulder_confidence,right_shoulder_y,right_shoulder_x,right_shoulder_confidence,left_elbow_y,left_elbow_x,left_elbow_confidence,right_elbow_y,right_elbow_x,right_elbow_confidence,left_wrist_y,left_wrist_x,left_wrist_confidence,right_wrist_y,right_wrist_x,right_wrist_confidence,left_hip_y,left_hip_x,left_hip_confidence,right_hip_y,right_hip_x,right_hip_confidence,left_knee_y,left_knee_x,left_knee_confidence,right_knee_y,right_knee_x,right_knee_confidence,left_ankle_y,left_ankle_x,left_ankle_confidence,right_ankle_y,right_ankle_x,right_ankle_confidence
0.37391683,0.46307555,0.30245337,0.36572155,0.46958327,0.4302393,0.36559466,0.45754337,0.39219087,0.36372197,0.48283064,0.42826676,0.36122656,0.449179,0.29398784,0.41334978,0.4974519,0.40345746,0.41572443,0.43318546,0.37830678,0.47531217,0.51986265,0.38709745,0.48126242,0.4193928,0.37763354,0.5397764,0.51453793,0.28156132,0.5567649,0.42490417,0.4240978,0.56738865,0.48525137,0.5973731,0.56856143,0.45008293,0.5304503,0.6876689,0.48478281,0.3022358,0.69220966,0.44988617,0.3199749,0.80369633,0.49055716,0.35987982,0.8036695,0.4483398,0.34874257
0.33133787,0.47183505,0.4423379,0.31888083,0.47828844,0.41091406,0.3200536,0.46658823,0.44519117,0.32088223,0.48462725,0.56865764,0.32098198,0.45692196,0.508471,0.40396994,0.506487,0.729519,0.40174899,0.43765873,0.89873993,0.5077453,0.51410633,0.90980923,0.50228965,0.4291368,0.869407,0.59338284,0.5179796,0.74826443,0.5861333,0.42165586,0.7629064,0.57339156,0.4917189,0.7877253,0.5742635,0.45122615,0.8556553,0.7079869,0.5008231,0.7579698,0.70910317,0.44966927,0.8253982,0.79435885,0.50087845,0.8555115,0.79708576,0.45352745,0.90750474
0.32340798,0.4684807,0.44320488,0.3130013,0.47475392,0.630461,0.31348842,0.46352044,0.6551435,0.31850678,0.4810081,0.51070404,0.31852916,0.45616847,0.6357572,0.397077,0.5050386,0.8480044,0.39817908,0.43698043,0.8115161,0.50375485,0.51597285,0.63747394,0.4994459,0.42829233,0.81773657,0.59470147,0.5206106,0.69441617,0.5904654,0.42106685,0.6647995,0.5776557,0.49273586,0.7633074,0.58116233,0.45147902,0.81736356,0.7078398,0.5018477,0.68585527,0.708748,0.44985116,0.74181175,0.79976803,0.5006487,0.8422176,0.7999556,0.45331448,0.76251125
0.33337876,0.4710955,0.50928193,0.32181427,0.4766374,0.5181245,0.32189623,0.46636966,0.51430327,0.3246286,0.4827304,0.5855251,0.3257471,0.45854038,0.5327581,0.39561442,0.5034832,0.85406786,0.39651638,0.43760347,0.9120743,0.501809,0.5138068,0.7428601,0.49889523,0.42787787,0.72770613,0.5880063,0.5189006,0.7539369,0.59160864,0.4209478,0.6992941,0.5841468,0.49318737,0.90758514,0.5871447,0.45214334,0.7934851,0.7115997,0.50136054,0.7270988,0.7125034,0.44928458,0.9015244,0.7970337,0.5023783,0.8870075,0.79786783,0.4546739,0.8742354
0.3388449,0.47178683,0.4294354,0.32604352,0.47731286,0.37584653,0.32671618,0.4664553,0.48155943,0.3280107,0.48301336,0.5053585,0.3292796,0.46039402,0.6257894,0.3957421,0.5046018,0.8094246,0.39663127,0.43813285,0.91476804,0.5039678,0.51424736,0.8392377,0.50125206,0.4289658,0.8169088,0.59225243,0.51852494,0.7699238,0.59127367,0.4214946,0.5528621,0.5869559,0.4926973,0.8636253,0.5904942,0.45198992,0.8287367,0.7121137,0.501009,0.72258407,0.7117965,0.44951355,0.884498,0.8016027,0.50182647,0.8890594,0.8006849,0.45342937,0.73617476
0.3353686,0.47335646,0.4317958,0.32275027,0.47924662,0.46000412,0.32308462,0.46824127,0.6169838,0.32660353,0.48448092,0.5595742,0.3251385,0.45937365,0.56891245,0.39591852,0.50471807,0.7757745,0.39799422,0.43833074,0.74147683,0.503029,0.5147498,0.81223696,0.5025579,0.4292378,0.8132794,0.5921776,0.51862013,0.679045,0.5919844,0.42305169,0.7004587,0.58685064,0.49303785,0.7929116,0.59118176,0.45187116,0.7999905,0.71299595,0.5006338,0.8206773,0.7091675,0.44963074,0.7715127,0.8011381,0.50287676,0.8545486,0.8026446,0.45342678,0.7127108
0.33530587,0.47264287,0.40218434,0.32273126,0.4783905,0.40418255,0.32313892,0.46746272,0.60439235,0.32650486,0.48378602,0.50829995,0.32535222,0.45910442,0.54983604,0.39688376,0.50431365,0.7218096,0.39943355,0.4387772,0.74624866,0.5024788,0.5144825,0.79094267,0.50276303,0.4292653,0.79497945,0.5925661,0.51858336,0.62811834,0.59119934,0.42286742,0.64500296,0.5860378,0.49278966,0.7465335,0.59074974,0.45190755,0.7623788,0.7120726,0.50045586,0.76949227,0.7086062,0.44972897,0.7172674,0.8008734,0.5028311,0.82424563,0.80242544,0.45348924,0.687222
0.3332367,0.47261932,0.43279102,0.3220039,0.4778548,0.5664663,0.32279179,0.4672159,0.6040253,0.32618666,0.48322827,0.4938947,0.32612446,0.46081552,0.5320614,0.39574465,0.50425845,0.7629247,0.3965919,0.43828002,0.8913846,0.5039286,0.5138645,0.83462965,0.50258535,0.4289029,0.8055958,0.59324944,0.5180237,0.7181093,0.59181654,0.4232172,0.6879387,0.58634114,0.49264959,0.8182001,0.5904294,0.45182544,0.8163504,0.71335596,0.50073594,0.8421844,0.709775,0.44965506,0.82408285,0.79932404,0.5032517,0.6482338,0.8013945,0.45385975,0.71058184
0.3354412,0.47250858,0.43694976,0.3230039,0.47826487,0.42379683,0.32364893,0.46725765,0.6187155,0.32682425,0.4835462,0.53201455,0.32562423,0.4590746,0.5860139,0.39547193,0.5043795,0.7771037,0.39789554,0.43797037,0.7482202,0.5040516,0.51426256,0.83948827,0.50243855,0.42927748,0.8258283,0.59230417,0.51830196,0.72286135,0.59277767,0.42336595,0.72104335,0.58690166,0.49270597,0.8234903,0.5913083,0.45163095,0.8238963,0.7139762,0.50067616,0.84968215,0.71021426,0.4495365,0.8126816,0.80056125,0.50330496,0.6522268,0.8034482,0.45326433,0.7418418
0.33488902,0.4722116,0.42783695,0.32198945,0.47815776,0.41629314,0.322837,0.466991,0.6109188,0.32599738,0.4835736,0.5367782,0.3248081,0.45888337,0.5747649,0.39566797,0.50462645,0.7832815,0.3976593,0.43830764,0.74915695,0.505263,0.51413184,0.8300259,0.50230753,0.42918336,0.8083737,0.595365,0.5186056,0.6990924,0.5921317,0.4227888,0.68300647,0.5870368,0.49284244,0.8075518,0.5915585,0.45138544,0.8077172,0.71268636,0.5006951,0.8169934,0.7092402,0.44952253,0.77670884,0.80116826,0.5027664,0.86399,0.8022206,0.45335215,0.704655
